timestamp,LastUpdate,LabTests,LabTestsDelta,Positives,PositivesDelta,AgTests,AgTestsDelta,AgPositives,AgPositivesDelta,Hospitalized,HospitalizedDelta,HospitalizedCovid19,HospitalizedCovid19Intensive,HospitalizedCovid19Ventilation,Deceased,DeceasedDelta,Cured,CuredDelta,median,vaccinated,vaccinatedDose1,vaccinatedDose2
"2021-09-28-18-30","28.9.2021","3573144","11086","409621","1012","38264994","22393","390857","379","523","23","464","66","53","12606","10","","","949","","2443062","2319210"
"2021-09-29-18-30","29.9.2021","3584842","11698","411080","1459","38293427","18234","391326","278","531","8","463","64","55","12620","14","","","949","","2445528","2322259"
"2021-09-30-18-30","30.9.2021","3596016","11174","412507","1427","38316779","15547","391656","225","513","-18","453","64","56","12637","17","","","1012","","2448010","2324349"
"2021-10-01-18-30","1.10.2021","3605324","9308","413723","1216","38344365","17658","392069","245","592","","536","68","61","12649","12","","","1039","","2452598","2327297"
"2021-10-02-18-30","1.10.2021","3605324","9308","413723","1216","38344365","17658","392069","245","592","","536","68","61","12649","12","","","1039","","2452598","2327297"
"2021-10-03-18-30","3.10.2021","3623835","7308","415993","977","38383572","9350","392732","167","606","","547","70","62","12668","8","","","1012","","2457400","2332905"
"2021-10-04-18-30","4.10.2021","3626058","2223","416260","267","38398146","8708","393024","206","606","","547","70","62","12676","8","","","1012","","2457689","2333328"
"2021-10-05-18-30","5.10.2021","3637567","11509","417502","1242","38435586","23691","393731","511","664","","603","76","71","12690","14","","","1216","","2459934","2338053"
"2021-10-06-18-30","6.10.2021","3651684","14117","419473","1971","38465631","20362","394184","346","753","","691","83","76","12697","7","","","1242","","2462200","2338702"
"2021-10-07-18-30","7.10.2021","3662799","11115","420924","1451","38492842","19169","394687","340","787","","708","89","70","12705","8","","","1242","","2463578","2340543"
"2021-10-08-18-30","8.10.2021","3673833","11034","422614","1690","38518224","18095","395149","331","806","","737","82","83","12720","15","","","1242","","2465677","2343228"
"2021-10-09-18-30","9.10.2021","3686102","12269","424407","1793","38548899","20715","395806","337","796","","730","90","77","12729","9","","","1451","","2469059","2347134"
"2021-10-10-18-30","10.10.2021","3693610","7508","425569","1162","38561681","8516","396027","154","787","","722","90","77","12731","2","","","1451","","2469379","2347458"
"2021-10-11-18-30","11.10.2021","3696429","2819","425971","402","38574951","9592","396367","264","788","","723","91","75","12735","4","","","1451","","2469782","2348000"
"2021-10-12-18-30","12.10.2021","3708301","11872","427480","1509","38609940","24899","397006","538","858","","723","91","75","12752","17","","","1451","","2471274","2349947"
"2021-10-13-18-30","13.10.2021","3722228","13927","429886","2406","38636822","19715","397508","372","877","","818","97","91","12772","20","","","1690","","2473996","2352885"
"2021-10-14-18-30","14.10.2021","3734759","12531","431757","1871","38663859","18533","398070","387","885","","824","103","94","12791","19","","","1690","","2475646","2354246"
"2021-10-15-18-30","15.10.2021","3746277","11518","433709","1952","38686348","16859","398434","293","943","","881","106","105","12816","25","","","1793","","2477106","2356083"
"2021-10-16-18-30","15.10.2021","3746277","11518","433709","1952","38686348","16859","398434","293","943","","881","106","105","12816","25","","","1793","","2477106","2356083"
"2021-10-17-18-30","17.10.2021","3766891","8996","437385","1735","38727683","8678","399369","276","963","","881","106","105","12846","13","","","1952","","2480397","2360370"
"2021-10-18-18-30","18.10.2021","3770053","3162","437938","553","38743329","11640","399910","424","964","","891","100","105","12854","8","","","1871","","2482655","2362641"
"2021-10-19-18-30","19.10.2021","3782213","12160","439735","1797","38785883","27436","401198","903","1056","","980","108","117","12864","10","","","1871","","2484406","2364953"
"2021-10-20-18-30","20.10.2021","3798412","16199","443214","3480","38818766","22228","402114","610","1040","","966","113","123","12872","8","","","1871","","2486032","2366978"
"2021-10-21-18-30","21.10.2021","3812685","14273","446305","3091","38846987","19618","402945","612","1052","","997","107","125","12883","11","","","1871","","2487216","2368865"
"2021-10-24-18-30","24.10.2021","3854815","12572","456438","3207","38919187","10230","405471","476","1141","","1037","113","123","12903","8","","","3091","","2490199","2376648"
"2021-10-25-18-30","25.10.2021","3858669","3854","457431","993","38933835","10627","406152","538","1144","","1080","112","122","12917","14","","","3091","","2490447","2376952"
"2021-10-26-18-30","26.10.2021","3874010","15341","460281","2850","38973553","28932","407862","1201","1302","","1223","116","129","12935","18","","","3091","","2490134","2380261"
"2021-10-27-18-30","27.10.2021","3893668","19658","465027","4746","39004799","21680","409173","892","1352","","1270","121","127","12957","22","","","3470","","2493542","2383981"
"2021-10-28-18-30","28.10.2021","3912175","18507","470008","4981","39039182","22199","410627","961","1384","","1322","130","131","12977","20","","","3470","","2495503","2386181"
"2021-10-29-18-30","29.10.2021","3929513","17338","474595","4587","39068731","22101","411901","957","1421","","0","0","0","13000","23","","","4587","","2497287","2388297"
"2021-10-30-18-30","30.10.2021","3947151","17638","479737","5142","39097241","19342","413457","1018","1402","","1402","138","134","13018","18","","","4746","","2499969","2391781"
"2021-10-31-18-30","31.10.2021","3961533","14382","483773","4036","39112381","10179","414422","691","1405","","1405","136","136","13034","16","","","4587","","2500386","2392393"
"2021-11-01-18-30","1.11.2021","3968266","6733","485629","1856","39126153","9588","415600","855","1413","","1413","136","135","13045","11","","","4587","","2500711","2392597"
"2021-11-02-18-30","2.11.2021","3977948","9682","487916","2287","39137828","7418","416580","676","1430","","","","135","13076","31","","","4587","","2501452","2393267"
"2021-11-03-18-30","3.11.2021","3997098","19150","493277","5361","39178517","31481","419174","2006","1774","","","","170","13112","36","","","4587","","2505987","2398209"
"2021-11-04-18-30","4.11.2021","4018803","21705","499990","6713","39218317","26900","421461","1489","1890","","","","179","13146","34","","","4587","","2513527","2400818"
"2021-11-05-18-30","5.11.2021","4039322","20519","506795","6805","39253083","24230","423461","1308","1964","","","","188","13166","20","","","5142","","2515241","2402607"
"2021-11-06-18-30","6.11.2021","4060627","21305","513297","6502","39289353","25356","425662","1566","2051","","","","183","13205","39","","","5361","","2518603","2406046"
"2021-11-07-18-30","7.11.2021","4077453","16826","518635","5338","39304796","10941","426987","958","2505","","","","185","13229","24","","","5361","","2519511","2406463"
"2021-11-08-18-30","8.11.2021","4086439","8986","521650","3015","39327481","16103","428818","1472","2108","","","","188","13269","40","","","5361","","2521446","2408316"
"2021-11-09-18-30","9.11.2021","4105976","19537","526608","4958","39371229","34325","432051","2560","2405","","","","214","13314","45","","","5361","","2523310","2409976"
"2021-11-10-18-30","10.11.2021","4130767","24791","533663","7055","39413847","27179","434647","1667","2478","","","","228","13367","53","","","6502","","2527041","2412586"
"2021-11-11-18-30","11.11.2021","4153734","22967","540209","6546","39450234","27186","437150","1859","2532","","","","230","13405","38","","","6502","","2532607","2417338"
"2021-11-12-18-30","12.11.2021","4176937","23203","547052","6843","39490431","29183","439903","1964","2594","","","","231","13446","41","","","6502","","2535967","2419244"
"2021-11-13-18-30","13.11.2021","4203251","26314","554296","7244","39525300","26110","442257","1752","2626","","","","231","13485","39","","","6502","","2542370","2423288"
"2021-11-14-18-30","14.11.2021","4221192","17941","560100","5804","39543685","12938","444049","1352","2626","","","","239","13537","52","","","6546","","2544367","2424183"
"2021-11-15-18-30","15.11.2021","4232191","10999","563445","3345","39565220","16532","446177","1586","2637","","","","241","13598","61","","","6546","","2546037","2424762"
"2021-11-16-18-30","16.11.2021","4256482","24291","569866","6421","39618248","40102","450156","2912","2862","","","","258","13644","46","","","6546","","2550248","2426386"
"2021-11-17-18-30","17.11.2021","4283027","26545","578208","8342","39659030","27806","453058","1959","2879","","","","258","13687","43","","","6546","","2555577","2429447"
"2021-11-18-18-30","18.11.2021","4305233","22206","585824","7616","39682580","11015","455172","1140","2904","","","","246","13725","38","","","6546","","2556886","2430137"
"2021-11-19-18-30","19.11.2021","4328673","23440","593242","7418","39732011","35970","458503","2711","2945","","","","256","13781","56","","","6843","","2556886","2430137"
"2021-11-20-18-30","20.11.2021","4355940","27267","602413","9171","39779720","32930","462267","2542","2997","","","","256","13818","37","","","7224","","2556886","2430137"
"2021-11-21-18-30","21.11.2021","4378036","22096","610140","7727","39798538","12984","464124","1351","3004","","","","258","13861","43","","","7418","","2556886","2430137"
"2021-11-22-18-30","22.11.2021","4391061","13025","614684","4544","39831238","25712","466942","2101","3021","","","","259","13919","58","","","7418","","2556886","2430137"
"2021-11-23-18-30","23.11.2021","4414168","23107","621423","6739","39893792","47610","471281","3093","3182","","","","258","13985","66","","","7418","","2591618","2447128"
"2021-11-24-18-30","24.11.2021","4444343","30175","631738","10315","39941130","33201","474232","2058","3200","","","","269","14056","71","","","7616","","2603391","2454025"
"2021-11-25-18-30","25.11.2021","4474963","30620","641903","10165","39987753","33819","477208","2063","3188","","","","259","14107","51","","","7727","","2612896","2458982"
"2021-11-26-18-30","26.11.2021","4501445","26482","651234","9331","40030061","29594","479972","1884","3162","","","","251","14177","70","","","9171","","2618462","2461642"
"2021-11-27-18-30","27.11.2021","4528103","26658","660386","9152","40074371","32448","482682","1883","3218","","","","256","14228","51","","","9152","","2625220","2464590"
"2021-11-28-18-30","28.11.2021","4549580","21477","667961","7575","40094485","15677","484164","1231","3213","","","","256","14274","46","","","9152","","2628496","2466037"
"2021-11-29-18-30","29.11.2021","4563162","13582","673015","5054","40141306","37257","486752","1751","3219","","","","258","14341","67","","","9152","","2631895","2468598"
"2021-11-30-18-30","","","","","","","","","","","","","","","","","","","","","",""
"2021-12-01-18-30","1.12.2021","4613592","28373","689618","9534","40273361","36651","492944","1707","","","","","281","14503","85","","","9152","","2643071","2474024"
"2021-12-02-18-30","2.12.2021","4636537","22945","697471","7853","40318986","30393","494968","1388","","","","","291","14606","103","","","7853","","2648585","2477796"
"2021-12-03-18-30","3.12.2021","4678940","42403","712749","15278","40361994","26890","497228","1344","","","","","302","14696","90","","","7853","","2651767","2479645"
"2021-12-04-18-30","4.12.2021","4704977","26037","722108","9359","40401120","28559","499663","1369","","","","","297","14771","75","","","7853","","2658544","2484566"
"2021-12-05-18-30","5.12.2021","4724312","19335","729475","7367","40421172","14149","500868","918","","","3409","","298","14826","55","","","7853","","2662669","2489252"
