Čas publikovania,Veková skupina,Vakcína,Dávka,Počet
2021-05-20 16:57:47,65-69,mRNA (Pfizer alebo Moderna),1,237
2021-05-21 19:05:03,65-69,mRNA (Pfizer alebo Moderna),1,249
2021-05-22 19:05:03,65-69,mRNA (Pfizer alebo Moderna),1,235
2021-05-17 16:12:10,70-74,mRNA (Pfizer alebo Moderna),1,314
2021-05-18 16:04:22,70-74,mRNA (Pfizer alebo Moderna),1,151
2021-05-19 16:58:38,70-74,mRNA (Pfizer alebo Moderna),1,136
2021-05-20 16:57:47,70-74,mRNA (Pfizer alebo Moderna),1,154
2021-05-21 19:05:03,70-74,mRNA (Pfizer alebo Moderna),1,125
2021-05-22 19:05:03,70-74,mRNA (Pfizer alebo Moderna),1,114
2021-05-17 16:12:10,75-79,mRNA (Pfizer alebo Moderna),1,91
2021-05-18 16:04:22,75-79,mRNA (Pfizer alebo Moderna),1,69
2021-05-19 16:58:38,75-79,mRNA (Pfizer alebo Moderna),1,53
2021-05-20 16:57:47,75-79,mRNA (Pfizer alebo Moderna),1,53
2021-05-21 19:05:03,75-79,mRNA (Pfizer alebo Moderna),1,42
2021-05-22 19:05:03,75-79,mRNA (Pfizer alebo Moderna),1,36
2021-05-17 16:12:10,80-84,mRNA (Pfizer alebo Moderna),1,50
2021-05-18 16:04:22,80-84,mRNA (Pfizer alebo Moderna),1,50
2021-05-19 16:58:38,80-84,mRNA (Pfizer alebo Moderna),1,31
2021-05-20 16:57:47,80-84,mRNA (Pfizer alebo Moderna),1,38
2021-05-21 19:05:03,80-84,mRNA (Pfizer alebo Moderna),1,32
2021-05-22 19:05:03,80-84,mRNA (Pfizer alebo Moderna),1,31
2021-05-17 16:12:10,85-n,mRNA (Pfizer alebo Moderna),1,28
2021-05-18 16:04:22,85-n,mRNA (Pfizer alebo Moderna),1,15
2021-05-19 16:58:38,85-n,mRNA (Pfizer alebo Moderna),1,19
2021-05-20 16:57:47,85-n,mRNA (Pfizer alebo Moderna),1,14
2021-05-21 19:05:03,85-n,mRNA (Pfizer alebo Moderna),1,11
2021-05-22 19:05:03,85-n,mRNA (Pfizer alebo Moderna),1,12
2021-05-17 16:12:10,18-19,vektorová (Astrazeneca),1,12359
2021-05-18 16:04:22,18-19,vektorová (Astrazeneca),1,12501
2021-05-19 16:58:38,18-19,vektorová (Astrazeneca),1,51
2021-05-20 16:57:47,18-19,vektorová (Astrazeneca),1,14
2021-05-17 16:12:10,20-24,vektorová (Astrazeneca),1,31870
2021-05-18 16:04:22,20-24,vektorová (Astrazeneca),1,32347
2021-05-19 16:58:38,20-24,vektorová (Astrazeneca),1,226
2021-05-20 16:57:47,20-24,vektorová (Astrazeneca),1,75
2021-05-17 16:12:10,25-29,vektorová (Astrazeneca),1,36621
2021-05-18 16:04:22,25-29,vektorová (Astrazeneca),1,37178
2021-05-19 16:58:38,25-29,vektorová (Astrazeneca),1,309
2021-05-20 16:57:47,25-29,vektorová (Astrazeneca),1,97
2021-05-21 19:05:03,25-29,vektorová (Astrazeneca),1,1
2021-05-22 19:05:03,25-29,vektorová (Astrazeneca),1,1
2021-05-17 16:12:10,30-34,vektorová (Astrazeneca),1,43645
2021-05-18 16:04:22,30-34,vektorová (Astrazeneca),1,44392
2021-05-19 16:58:38,30-34,vektorová (Astrazeneca),1,381
2021-05-20 16:57:47,30-34,vektorová (Astrazeneca),1,99
2021-05-17 16:12:10,35-39,vektorová (Astrazeneca),1,111
2021-05-18 16:04:22,35-39,vektorová (Astrazeneca),1,122
2021-05-19 16:58:38,35-39,vektorová (Astrazeneca),1,1
2021-05-20 16:57:47,35-39,vektorová (Astrazeneca),1,113
2021-05-17 16:12:10,40-44,vektorová (Astrazeneca),1,31
2021-05-18 16:04:22,40-44,vektorová (Astrazeneca),1,30
2021-05-19 16:58:38,40-44,vektorová (Astrazeneca),1,1
2021-05-20 16:57:47,40-44,vektorová (Astrazeneca),1,491
2021-05-22 19:05:03,40-44,vektorová (Astrazeneca),1,1
2021-05-17 16:12:10,45-49,vektorová (Astrazeneca),1,34
2021-05-18 16:04:22,45-49,vektorová (Astrazeneca),1,31
2021-05-19 16:58:38,45-49,vektorová (Astrazeneca),1,2
2021-05-20 16:57:47,45-49,vektorová (Astrazeneca),1,984
2021-05-17 16:12:10,50-54,vektorová (Astrazeneca),1,15
2021-05-18 16:04:22,50-54,vektorová (Astrazeneca),1,20
2021-05-19 16:58:38,50-54,vektorová (Astrazeneca),1,2
2021-05-20 16:57:47,50-54,vektorová (Astrazeneca),1,912
2021-05-17 16:12:10,55-59,vektorová (Astrazeneca),1,14
2021-05-18 16:04:22,55-59,vektorová (Astrazeneca),1,14
2021-05-19 16:58:38,55-59,vektorová (Astrazeneca),1,1
2021-05-20 16:57:47,55-59,vektorová (Astrazeneca),1,937
2021-05-17 16:12:10,60-64,vektorová (Astrazeneca),1,1
2021-05-18 16:04:22,60-64,vektorová (Astrazeneca),1,1
2021-05-20 16:57:47,60-64,vektorová (Astrazeneca),1,150
2021-05-17 16:12:10,65-69,vektorová (Astrazeneca),1,1
2021-05-18 16:04:22,65-69,vektorová (Astrazeneca),1,1
2021-05-20 16:57:47,65-69,vektorová (Astrazeneca),1,156
2021-05-17 16:12:10,70-74,vektorová (Astrazeneca),1,1
2021-05-20 16:57:47,70-74,vektorová (Astrazeneca),1,3
2021-05-17 16:12:10,00-17,mRNA (Pfizer alebo Moderna),2,1145
2021-05-18 16:04:22,00-17,mRNA (Pfizer alebo Moderna),2,1183
2021-05-19 16:58:38,00-17,mRNA (Pfizer alebo Moderna),2,1150
2021-05-20 16:57:47,00-17,mRNA (Pfizer alebo Moderna),2,1150
2021-05-21 19:05:03,00-17,mRNA (Pfizer alebo Moderna),2,1218
2021-05-22 19:05:03,00-17,mRNA (Pfizer alebo Moderna),2,1375
2021-05-17 16:12:10,18-19,mRNA (Pfizer alebo Moderna),2,2827
2021-05-18 16:04:22,18-19,mRNA (Pfizer alebo Moderna),2,3057
2021-05-19 16:58:38,18-19,mRNA (Pfizer alebo Moderna),2,3168
2021-05-20 16:57:47,18-19,mRNA (Pfizer alebo Moderna),2,3350
2021-05-21 19:05:03,18-19,mRNA (Pfizer alebo Moderna),2,3623
2021-05-22 19:05:03,18-19,mRNA (Pfizer alebo Moderna),2,4220
2021-05-17 16:12:10,20-24,mRNA (Pfizer alebo Moderna),2,7233
2021-05-18 16:04:22,20-24,mRNA (Pfizer alebo Moderna),2,7744
2021-05-19 16:58:38,20-24,mRNA (Pfizer alebo Moderna),2,8061
2021-05-20 16:57:47,20-24,mRNA (Pfizer alebo Moderna),2,8574
2021-05-21 19:05:03,20-24,mRNA (Pfizer alebo Moderna),2,9636
2021-05-22 19:05:03,20-24,mRNA (Pfizer alebo Moderna),2,10461
2021-05-17 16:12:10,25-29,mRNA (Pfizer alebo Moderna),2,8792
2021-05-18 16:04:22,25-29,mRNA (Pfizer alebo Moderna),2,9257
2021-05-19 16:58:38,25-29,mRNA (Pfizer alebo Moderna),2,10264
2021-05-20 16:57:47,25-29,mRNA (Pfizer alebo Moderna),2,10969
2021-05-21 19:05:03,25-29,mRNA (Pfizer alebo Moderna),2,12109
2021-05-22 19:05:03,25-29,mRNA (Pfizer alebo Moderna),2,13512
2021-05-17 16:12:10,30-34,mRNA (Pfizer alebo Moderna),2,12455
2021-05-18 16:04:22,30-34,mRNA (Pfizer alebo Moderna),2,12919
2021-05-19 16:58:38,30-34,mRNA (Pfizer alebo Moderna),2,14021
2021-05-20 16:57:47,30-34,mRNA (Pfizer alebo Moderna),2,14979
2021-05-21 19:05:03,30-34,mRNA (Pfizer alebo Moderna),2,16225
2021-05-22 19:05:03,30-34,mRNA (Pfizer alebo Moderna),2,17901
2021-05-17 16:12:10,35-39,mRNA (Pfizer alebo Moderna),2,19350
2021-05-18 16:04:22,35-39,mRNA (Pfizer alebo Moderna),2,21209
