Dávka,Veková skupina,Čas publikovania,Vážený počet registrácii
1,40-44,2021-05-21 19:05:03,8850.965079365093
1,45-49,2021-05-21 19:05:03,3156.4916666666672
1,50-54,2021-05-21 19:05:03,1267.136904761905
1,55-59,2021-05-21 19:05:03,1046.5
1,60-64,2021-05-21 19:05:03,510.6333333333332
1,65-69,2021-05-21 19:05:03,248.49999999999986
1,70-74,2021-05-21 19:05:03,125.3
1,75-79,2021-05-21 19:05:03,41.99999999999998
1,80-84,2021-05-21 19:05:03,31.999999999999996
1,85-n,2021-05-21 19:05:03,10.99999999999999
2,00-17,2021-05-21 19:05:03,1237.5000000000007
2,18-19,2021-05-21 19:05:03,5131.2797619047315
2,20-24,2021-05-21 19:05:03,14772.208333333172
2,25-29,2021-05-21 19:05:03,18449.692704517773
2,30-34,2021-05-21 19:05:03,26314.478538129166
2,35-39,2021-05-21 19:05:03,40753.13692810496
2,40-44,2021-05-21 19:05:03,71042.17739739185
2,45-49,2021-05-21 19:05:03,89520.34855134555
2,50-54,2021-05-21 19:05:03,83383.42824675361
2,55-59,2021-05-21 19:05:03,98348.88611388463
2,60-64,2021-05-21 19:05:03,74798.53806046845
2,65-69,2021-05-21 19:05:03,57844.55704850655
2,70-74,2021-05-21 19:05:03,13180.044841269912
2,75-79,2021-05-21 19:05:03,6066.516666666639
2,80-84,2021-05-21 19:05:03,3450.3333333333403
2,85-n,2021-05-21 19:05:03,1958.333333333335
1,00-17,2021-05-22 19:05:03,13403.000000000015
1,18-19,2021-05-22 19:05:03,11938.666666666752
1,20-24,2021-05-22 19:05:03,30490.76904761903
1,25-29,2021-05-22 19:05:03,33047.69047619071
1,30-34,2021-05-22 19:05:03,30742.68333333333
1,35-39,2021-05-22 19:05:03,12286.958333333336
1,40-44,2021-05-22 19:05:03,7915.166666666662
1,45-49,2021-05-22 19:05:03,2379.5000000000005
1,50-54,2021-05-22 19:05:03,876.0000000000001
1,55-59,2021-05-22 19:05:03,705.4999999999994
1,60-64,2021-05-22 19:05:03,542.4666666666664
1,65-69,2021-05-22 19:05:03,234.49999999999997
1,70-74,2021-05-22 19:05:03,114.29999999999998
1,75-79,2021-05-22 19:05:03,36.00000000000001
1,80-84,2021-05-22 19:05:03,31.0
1,85-n,2021-05-22 19:05:03,11.999999999999986
2,00-17,2021-05-22 19:05:03,1394.4999999999984
2,18-19,2021-05-22 19:05:03,5714.279761904722
2,20-24,2021-05-22 19:05:03,15594.208333333421
2,25-29,2021-05-22 19:05:03,19830.1927045181
2,30-34,2021-05-22 19:05:03,27949.47853812927
2,35-39,2021-05-22 19:05:03,44422.13692810443
2,40-44,2021-05-22 19:05:03,75660.47977834356
2,45-49,2021-05-22 19:05:03,90607.84855134589
2,50-54,2021-05-22 19:05:03,83861.62824675269
